date_year,date_month,H0,H3,H6,H9,H12,recession
1960,1,NaN,NaN,NaN,NaN,NaN,0
1960,2,NaN,NaN,NaN,NaN,NaN,0
1960,3,NaN,NaN,NaN,NaN,NaN,0
1960,4,NaN,NaN,NaN,NaN,NaN,0
1960,5,NaN,NaN,NaN,NaN,NaN,1
1960,6,NaN,NaN,NaN,NaN,NaN,1
1960,7,NaN,NaN,NaN,NaN,NaN,1
1960,8,NaN,NaN,NaN,NaN,NaN,1
1960,9,NaN,NaN,NaN,NaN,NaN,1
1960,10,NaN,NaN,NaN,NaN,NaN,1
1960,11,NaN,NaN,NaN,NaN,NaN,1
1960,12,NaN,NaN,NaN,NaN,NaN,1
1961,1,NaN,NaN,NaN,NaN,NaN,1
1961,2,NaN,NaN,NaN,NaN,NaN,1
1961,3,NaN,NaN,NaN,NaN,NaN,0
1961,4,NaN,NaN,NaN,NaN,NaN,0
1961,5,NaN,NaN,NaN,NaN,NaN,0
1961,6,NaN,NaN,NaN,NaN,NaN,0
1961,7,NaN,NaN,NaN,NaN,NaN,0
1961,8,NaN,NaN,NaN,NaN,NaN,0
1961,9,NaN,NaN,NaN,NaN,NaN,0
1961,10,NaN,NaN,NaN,NaN,NaN,0
1961,11,NaN,NaN,NaN,NaN,NaN,0
1961,12,NaN,NaN,NaN,NaN,NaN,0
1962,1,NaN,NaN,NaN,NaN,NaN,0
1962,2,NaN,NaN,NaN,NaN,NaN,0
1962,3,NaN,NaN,NaN,NaN,NaN,0
1962,4,NaN,NaN,NaN,NaN,NaN,0
1962,5,NaN,NaN,NaN,NaN,NaN,0
1962,6,NaN,NaN,NaN,NaN,NaN,0
1962,7,NaN,NaN,NaN,NaN,NaN,0
1962,8,NaN,NaN,NaN,NaN,NaN,0
1962,9,NaN,NaN,NaN,NaN,NaN,0
1962,10,NaN,NaN,NaN,NaN,NaN,0
1962,11,NaN,NaN,NaN,NaN,NaN,0
1962,12,NaN,NaN,NaN,NaN,NaN,0
1963,1,NaN,NaN,NaN,NaN,NaN,0
1963,2,NaN,NaN,NaN,NaN,NaN,0
1963,3,NaN,NaN,NaN,NaN,NaN,0
1963,4,NaN,NaN,NaN,NaN,NaN,0
1963,5,NaN,NaN,NaN,NaN,NaN,0
1963,6,NaN,NaN,NaN,NaN,NaN,0
1963,7,NaN,NaN,NaN,NaN,NaN,0
1963,8,NaN,NaN,NaN,NaN,NaN,0
1963,9,NaN,NaN,NaN,NaN,NaN,0
1963,10,NaN,NaN,NaN,NaN,NaN,0
1963,11,NaN,NaN,NaN,NaN,NaN,0
1963,12,NaN,NaN,NaN,NaN,NaN,0
1964,1,NaN,NaN,NaN,NaN,NaN,0
1964,2,NaN,NaN,NaN,NaN,NaN,0
1964,3,NaN,NaN,NaN,NaN,NaN,0
1964,4,NaN,NaN,NaN,NaN,NaN,0
1964,5,NaN,NaN,NaN,NaN,NaN,0
1964,6,NaN,NaN,NaN,NaN,NaN,0
1964,7,NaN,NaN,NaN,NaN,NaN,0
1964,8,NaN,NaN,NaN,NaN,NaN,0
1964,9,NaN,NaN,NaN,NaN,NaN,0
1964,10,NaN,NaN,NaN,NaN,NaN,0
1964,11,NaN,NaN,NaN,NaN,NaN,0
1964,12,NaN,NaN,NaN,NaN,NaN,0
1965,1,NaN,NaN,NaN,NaN,NaN,0
1965,2,NaN,NaN,NaN,NaN,NaN,0
1965,3,NaN,NaN,NaN,NaN,NaN,0
1965,4,NaN,NaN,NaN,NaN,NaN,0
1965,5,NaN,NaN,NaN,NaN,NaN,0
1965,6,NaN,NaN,NaN,NaN,NaN,0
1965,7,NaN,NaN,NaN,NaN,NaN,0
1965,8,NaN,NaN,NaN,NaN,NaN,0
1965,9,NaN,NaN,NaN,NaN,NaN,0
1965,10,NaN,NaN,NaN,NaN,NaN,0
1965,11,NaN,NaN,NaN,NaN,NaN,0
1965,12,NaN,NaN,NaN,NaN,NaN,0
1966,1,NaN,NaN,NaN,NaN,NaN,0
1966,2,NaN,NaN,NaN,NaN,NaN,0
1966,3,NaN,NaN,NaN,NaN,NaN,0
1966,4,NaN,NaN,NaN,NaN,NaN,0
1966,5,NaN,NaN,NaN,NaN,NaN,0
1966,6,NaN,NaN,NaN,NaN,NaN,0
1966,7,NaN,NaN,NaN,NaN,NaN,0
1966,8,NaN,NaN,NaN,NaN,NaN,0
1966,9,NaN,NaN,NaN,NaN,NaN,0
1966,10,NaN,NaN,NaN,NaN,NaN,0
1966,11,NaN,NaN,NaN,NaN,NaN,0
1966,12,NaN,NaN,NaN,NaN,NaN,0
1967,1,NaN,NaN,NaN,NaN,NaN,0
1967,2,NaN,NaN,NaN,NaN,NaN,0
1967,3,NaN,NaN,NaN,NaN,NaN,0
1967,4,NaN,NaN,NaN,NaN,NaN,0
1967,5,NaN,NaN,NaN,NaN,NaN,0
1967,6,NaN,NaN,NaN,NaN,NaN,0
1967,7,NaN,NaN,NaN,NaN,NaN,0
1967,8,NaN,NaN,NaN,NaN,NaN,0
1967,9,NaN,NaN,NaN,NaN,NaN,0
1967,10,NaN,NaN,NaN,NaN,NaN,0
1967,11,NaN,NaN,NaN,NaN,NaN,0
1967,12,NaN,NaN,NaN,NaN,NaN,0
1968,1,NaN,NaN,NaN,NaN,NaN,0
1968,2,NaN,NaN,NaN,NaN,NaN,0
1968,3,NaN,NaN,NaN,NaN,NaN,0
1968,4,NaN,NaN,NaN,NaN,NaN,0
1968,5,NaN,NaN,NaN,NaN,NaN,0
1968,6,NaN,NaN,NaN,NaN,NaN,0
1968,7,NaN,NaN,NaN,NaN,NaN,0
1968,8,NaN,NaN,NaN,NaN,NaN,0
1968,9,NaN,NaN,NaN,NaN,NaN,0
1968,10,NaN,NaN,NaN,NaN,NaN,0
1968,11,NaN,NaN,NaN,NaN,NaN,0
1968,12,NaN,NaN,NaN,NaN,NaN,0
1969,1,NaN,NaN,NaN,NaN,NaN,0
1969,2,NaN,NaN,NaN,NaN,NaN,0
1969,3,NaN,NaN,NaN,NaN,NaN,0
1969,4,NaN,NaN,NaN,NaN,NaN,0
1969,5,NaN,NaN,NaN,NaN,NaN,0
1969,6,NaN,NaN,NaN,NaN,NaN,0
1969,7,NaN,NaN,NaN,NaN,NaN,0
1969,8,NaN,NaN,NaN,NaN,NaN,0
1969,9,NaN,NaN,NaN,NaN,NaN,0
1969,10,NaN,NaN,NaN,NaN,NaN,0
1969,11,NaN,NaN,NaN,NaN,NaN,0
1969,12,NaN,NaN,NaN,NaN,NaN,0
1970,1,NaN,NaN,NaN,NaN,NaN,1
1970,2,NaN,NaN,NaN,NaN,NaN,1
1970,3,NaN,NaN,NaN,NaN,NaN,1
1970,4,NaN,NaN,NaN,NaN,NaN,1
1970,5,NaN,NaN,NaN,NaN,NaN,1
1970,6,NaN,NaN,NaN,NaN,NaN,1
1970,7,NaN,NaN,NaN,NaN,NaN,1
1970,8,NaN,NaN,NaN,NaN,NaN,1
1970,9,NaN,NaN,NaN,NaN,NaN,1
1970,10,NaN,NaN,NaN,NaN,NaN,1
1970,11,NaN,NaN,NaN,NaN,NaN,1
1970,12,NaN,NaN,NaN,NaN,NaN,0
1971,1,NaN,NaN,NaN,NaN,NaN,0
1971,2,NaN,NaN,NaN,NaN,NaN,0
1971,3,NaN,NaN,NaN,NaN,NaN,0
1971,4,NaN,NaN,NaN,NaN,NaN,0
1971,5,NaN,NaN,NaN,NaN,NaN,0
1971,6,NaN,NaN,NaN,NaN,NaN,0
1971,7,NaN,NaN,NaN,NaN,NaN,0
1971,8,NaN,NaN,NaN,NaN,NaN,0
1971,9,NaN,NaN,NaN,NaN,NaN,0
1971,10,NaN,NaN,NaN,NaN,NaN,0
1971,11,NaN,NaN,NaN,NaN,NaN,0
1971,12,NaN,NaN,NaN,NaN,NaN,0
1972,1,NaN,NaN,NaN,NaN,NaN,0
1972,2,NaN,NaN,NaN,NaN,NaN,0
1972,3,NaN,NaN,NaN,NaN,NaN,0
1972,4,NaN,NaN,NaN,NaN,NaN,0
1972,5,NaN,NaN,NaN,NaN,NaN,0
1972,6,NaN,NaN,NaN,NaN,NaN,0
1972,7,NaN,NaN,NaN,NaN,NaN,0
1972,8,NaN,NaN,NaN,NaN,NaN,0
1972,9,NaN,NaN,NaN,NaN,NaN,0
1972,10,NaN,NaN,NaN,NaN,NaN,0
1972,11,NaN,NaN,NaN,NaN,NaN,0
1972,12,NaN,NaN,NaN,NaN,NaN,0
1973,1,4.65418761812963e-61,NaN,NaN,NaN,NaN,0
1973,2,5.50056409614912e-62,NaN,NaN,NaN,NaN,0
1973,3,7.22380244832334e-58,NaN,NaN,NaN,NaN,0
1973,4,1.78634506028609e-51,7.97382017752023e-21,NaN,NaN,NaN,0
1973,5,3.22223505323163e-43,1.53301059003552e-20,NaN,NaN,NaN,0
1973,6,1.14002850961004e-36,4.78355888424745e-20,NaN,NaN,NaN,0
1973,7,3.31500021742616e-26,4.13653346213123e-18,2.09424205156705e-12,NaN,NaN,0
1973,8,4.72947644823084e-21,4.28556101695141e-14,3.21963781477252e-13,NaN,NaN,0
1973,9,6.89658386330868e-17,2.68597356615371e-13,9.87556864529244e-13,NaN,NaN,0
1973,10,5.06058188621229e-14,2.24176466920301e-06,8.6393323433096e-12,1.19733131358377e-11,NaN,0
1973,11,2.48378044464224e-12,0.000139520128687425,1.90084498903604e-09,2.51958728738772e-13,NaN,0
1973,12,2.13633429797754e-07,0.920424609686467,9.3629848228988e-07,2.71284676881729e-12,NaN,1
1974,1,0.768154603592203,0.999999972130297,0.46598791699914,8.69694131986574e-13,1.82232506073652e-22,1
1974,2,0.999999999987722,0.999999999999673,0.999999736042589,1.81985500754329e-10,8.11020680556825e-24,1
1974,3,1,1,1,7.69187093512987e-07,1.24574386935586e-23,1
1974,4,1,1,1,0.925151688647183,8.59640916405915e-23,1
1974,5,1,1,1,0.999999999190322,3.70655040758512e-21,1
1974,6,1,1,1,1,2.13924125532299e-16,1
1974,7,1,1,1,1,1.20892399762051e-07,1
1974,8,1,1,1,1,0.991086054802138,1
1974,9,1,1,1,1,0.999999999999758,1
1974,10,1,1,1,1,1,1
1974,11,1,1,1,1,1,1
1974,12,1,1,1,1,1,1
1975,1,1,1,1,1,1,1
1975,2,1,1,1,1,1,1
1975,3,1,1,1,1,1,1
1975,4,1,1,1,1,1,0
1975,5,1,1,1,1,1,0
1975,6,1,1,1,1,1,0
1975,7,0.999999999998579,1,1,1,1,0
1975,8,0.710062576637723,1,1,1,1,0
1975,9,5.13671102556356e-08,0.99999999983541,1,1,1,0
1975,10,9.95642845236413e-13,0.999990285194977,1,1,1,0
